Date,Time,User Full Name *Anonymized,Component,Action,Target
2023-12-01,2025-11-04 00:10:56,60,COURSE,VIEWED,CONTENT
2023-12-01,2025-11-04 00:10:56,60,COURSE,VIEWED,CONTENT
2023-12-01,2025-11-04 00:10:56,60,STUDY_MATERIAL,VIEWED,FOLDER
2023-12-01,2025-11-04 00:11:01,60,COURSE,VIEWED,CONTENT
2023-12-01,2025-11-04 00:11:01,60,COURSE,VIEWED,CONTENT
2023-12-01,2025-11-04 00:11:01,60,STUDY_MATERIAL,VIEWED,FOLDER
2023-12-01,2025-11-04 00:10:36,60,STUDY_MATERIAL,VIEWED,FOLDER
2023-12-01,2025-11-04 00:10:36,60,COURSE,VIEWED,CONTENT
2023-12-01,2025-11-04 00:10:36,60,COURSE,VIEWED,CONTENT
2023-12-01,2025-11-04 00:11:10,60,COURSE,VIEWED,CONTENT
2023-12-01,2025-11-04 00:11:10,60,COURSE,VIEWED,CONTENT
2023-12-01,2025-11-04 00:11:10,60,STUDY_MATERIAL,VIEWED,FOLDER
2023-10-03,2025-11-04 00:05:56,94,MANUAL,VIEWED,RESOURCE
2023-10-03,2025-11-04 00:05:56,94,ASSIGNMENT,VIEWED,SUBMISSION
2023-10-03,2025-11-04 00:05:56,94,ASSIGNMENT,SUBMITTED,SUBMISSION
2023-10-03,2025-11-04 00:05:56,94,ASSIGNMENT,UPDATED,FILE_SUBMISSION
2023-10-03,2025-11-04 00:05:56,94,ASSIGNMENT,UPLOADED,FILE_SUBMISSION
2023-10-03,2025-11-04 00:05:56,94,TEST,VIEWED,ACTIVITY
2023-10-03,2025-11-04 00:05:56,94,QUIZ,VIEWED,ACTIVITY
2023-10-03,2025-11-04 00:05:56,94,QUIZ,REVIEWED,ATTEMPT
2023-10-03,2025-11-04 00:05:56,94,COURSE,VIEWED,PAGE
2023-10-03,2025-11-04 00:05:56,94,COURSE,VIEWED,COURSE
2023-10-03,2025-11-04 00:05:56,94,LECTURE,VIEWED,ACTIVITY
2023-10-03,2025-11-04 00:05:56,94,LECTURE,UPDATED,COMPLETION_STATE
2023-10-03,2025-11-04 00:05:56,94,LECTURE,VIEWED,SUBMISSION_STATUS
2023-10-03,2025-11-04 00:05:56,94,COURSE,VIEWED,CONTENT
2023-10-03,2025-11-04 00:05:56,94,STUDY_MATERIAL,VIEWED,FOLDER
2023-10-03,2025-11-04 00:06:04,94,SYSTEM,VIEWED,CONTENT
2023-10-03,2025-11-04 00:05:56,94,SYSTEM,VIEWED,CONTENT
2023-10-03,2025-11-04 00:09:26,94,QUIZ,REVIEWED,ATTEMPT
2023-10-03,2025-11-04 00:09:26,94,QUIZ,VIEWED,ACTIVITY
2023-10-03,2025-11-04 00:09:26,94,TEST,VIEWED,ACTIVITY
2023-10-03,2025-11-04 00:09:26,94,ASSIGNMENT,UPLOADED,FILE_SUBMISSION
2023-10-03,2025-11-04 00:06:04,94,ASSIGNMENT,VIEWED,SUBMISSION_STATE
2023-10-03,2025-11-04 00:09:26,94,ASSIGNMENT,SUBMITTED,SUBMISSION
2023-10-03,2025-11-04 00:09:26,94,ASSIGNMENT,VIEWED,SUBMISSION
2023-10-03,2025-11-04 00:09:26,94,MANUAL,VIEWED,RESOURCE
2023-10-03,2025-11-04 00:09:26,94,COURSE,VIEWED,CONTENT
2023-10-03,2025-11-04 00:09:26,94,STUDY_MATERIAL,VIEWED,FOLDER
2023-10-03,2025-11-04 00:09:26,94,ASSIGNMENT,VIEWED,FEEDBACK
2023-10-03,2025-11-04 00:09:26,94,SYSTEM,VIEWED,CONTENT
2023-10-03,2025-11-04 00:09:26,94,ASSIGNMENT,VIEWED,ASSIGNMENT
2023-10-03,2025-11-04 00:09:26,94,ASSIGNMENT,VIEWED,SUBMISSION_STATUS
2023-10-03,2025-11-04 00:05:56,94,ASSIGNMENT,VIEWED,SUBMISSION_STATE
2023-10-03,2025-11-04 00:05:56,94,ASSIGNMENT,VIEWED,SUBMISSION_STATUS
2023-10-03,2025-11-04 00:05:56,94,ASSIGNMENT,VIEWED,ASSIGNMENT
2023-10-03,2025-11-04 00:05:56,94,ASSIGNMENT,VIEWED,FEEDBACK
2023-10-03,2025-11-04 00:05:56,94,ATTENDENCE,VIEWED,SESSION
2023-10-03,2025-11-04 00:06:04,94,COURSE,VIEWED,CONTENT
2023-10-03,2025-11-04 00:06:04,94,ASSIGNMENT,VIEWED,ASSIGNMENT
2023-10-03,2025-11-04 00:06:12,94,TEST,VIEWED,ACTIVITY
2023-10-03,2025-11-04 00:06:12,94,ASSIGNMENT,UPLOADED,FILE_SUBMISSION
2023-10-03,2025-11-04 00:06:12,94,ASSIGNMENT,UPDATED,FILE_SUBMISSION
2023-10-03,2025-11-04 00:06:12,94,ASSIGNMENT,SUBMITTED,SUBMISSION
2023-10-03,2025-11-04 00:06:12,94,ASSIGNMENT,VIEWED,SUBMISSION
2023-10-03,2025-11-04 00:06:12,94,MANUAL,VIEWED,RESOURCE
2023-10-03,2025-11-04 00:06:12,94,COURSE,VIEWED,CONTENT
2023-10-03,2025-11-04 00:06:12,94,QUIZ,VIEWED,ACTIVITY
2023-10-03,2025-11-04 00:06:12,94,STUDY_MATERIAL,VIEWED,FOLDER
2023-10-03,2025-11-04 00:06:12,94,SYSTEM,VIEWED,CONTENT
2023-10-03,2025-11-04 00:06:12,94,ASSIGNMENT,VIEWED,ASSIGNMENT
2023-10-03,2025-11-04 00:06:12,94,ASSIGNMENT,VIEWED,SUBMISSION_STATUS
2023-10-03,2025-11-04 00:06:04,94,COURSE,VIEWED,COURSE
2023-10-03,2025-11-04 00:06:04,94,LECTURE,VIEWED,ACTIVITY
2023-10-03,2025-11-04 00:06:04,94,LECTURE,UPDATED,COMPLETION_STATE
2023-10-03,2025-11-04 00:06:04,94,ATTENDENCE,VIEWED,SESSION
2023-10-03,2025-11-04 00:06:12,94,ASSIGNMENT,VIEWED,FEEDBACK
2023-10-03,2025-11-04 00:06:12,94,QUIZ,REVIEWED,ATTEMPT
2023-10-03,2025-11-04 00:06:12,94,COURSE,VIEWED,PAGE
2023-10-03,2025-11-04 00:06:12,94,COURSE,VIEWED,COURSE
